     NUMBER     X_IMAGE     Y_IMAGE ELLIPTICITY  AWIN_IMAGE  BWIN_IMAGE     A_IMAGE     B_IMAGE   FLUX_AUTO   FLUX_APER  FWHM_IMAGE  MY_COMMENT
       1540   3369.9385   1292.9398       0.775       6.854       3.992       8.129       1.829   0.5952276  0.04525367       23.14  ok
       1637   7105.6401   1402.4397       0.802       5.688       2.547      10.694       2.117    1.107031   0.1249775       28.55  ok
       2127   2946.1580   1839.3616       0.738       6.908       3.131       7.984       2.093   0.8413093  0.08084264       24.53  ok blended
       2399   7175.0977   2087.2676       0.759       4.663       3.019       3.780       0.909   0.1541208  0.02197092       11.11  ok tiny
       2583   7276.7017   2427.7786       0.735       7.264       3.757      11.713       3.104    3.049909   0.2428135       31.97  ok
       2608   2945.6938   2354.3611       0.811       8.378       3.587      13.542       2.553    1.829382    0.108726       35.29  ok with irr shape
       3112   4939.2090   2764.9937       0.720       3.730       2.559       3.654       1.024   0.1131507  0.01815945       11.59  ok tiny
       3864   7206.9434   3747.5662       0.736      11.654       6.175      22.574       5.950    16.03817   0.3533504       54.43  ok
       4286   5980.2588   3937.7129       0.782       7.284       3.724      13.868       3.021    1.734482   0.1030601       38.85  ok irr
       4929   3234.0977   4734.3281       0.819      15.755       6.102      24.637       4.471    10.75273   0.2315287       63.01  ok
       6144   7091.9097   5544.9673       0.796       6.275       2.994      11.017       2.247    1.370368   0.1372531       29.86  ok
       6185   6037.8252   5652.1890       0.738       8.047       3.394      10.656       2.796    2.011768   0.1201503       32.76  ok blended
       6231   2283.1851   5724.7441       0.823      11.417       4.766      20.799       3.673    7.194312   0.3290361       52.47  ok
       6275   6821.0952   5668.4570       0.756       5.389       2.512       6.285       1.533   0.3556544  0.04278449       18.62  ok faint
       6614   1559.9487   5989.5278       0.755       6.183       2.184       6.313       1.547   0.3602193  0.03353282       18.75  ok
       6989   4589.1440   6315.0088       0.729       6.901       3.568      11.434       3.103    2.224736   0.1970737       26.10  ok blended
       7528   1908.7455   6828.5513       0.811       7.802       2.937      12.628       2.391     1.68137  0.08911618       32.98  ok
       7837   5689.3306   7145.2559       0.784       6.349       2.815      10.959       2.362    1.521251   0.1547509       30.54  ok
       8288   5460.9131   7298.3252       0.707       6.300       3.743       4.925       1.444   0.2831988   0.0260307       16.00  ok faint
        858   6062.9736    866.8459       0.731       4.968       2.258       4.036       1.084   0.1777953  0.02605255       12.54  80 faint
       1969   6443.1250   1698.7445       0.760       5.467       2.842       8.811       2.112   0.6642288  0.07933085       25.89  20 irr
       1998   3147.6860   1854.3856       0.740      11.508       5.076      19.570       5.092    17.81565   0.6283463       59.31  look again
       2464   7515.2739   2185.3130       0.719       5.478       2.363       4.715       1.325   0.2446029  0.03198846       14.99  80 small faint
       2720   5424.0767   2417.0608       0.714       4.949       2.559       6.992       2.002   0.7802792   0.1002899       22.45  70 SN
       3022   4234.3315   2820.6499       0.710       7.951       4.096      14.002       4.065    6.599655   0.4093542       35.15  70 unusual shape
       3067   1491.8646   2749.6794       0.738       5.084       3.473       6.381       1.669   0.3194311  0.03200646       19.58  wide and blended
       3157   5611.9111   2824.6375       0.762       6.092       4.171       5.962       1.418   0.3184222  0.02109014       17.44  60 faint blended
       3287   3514.7988   2898.9751       0.722       3.368       2.286       3.253       0.905    0.117815  0.02413298       10.28  tiny
       3373   4573.9863   2983.5032       0.748       6.060       3.079       8.180       2.060   0.5587021  0.04431691       24.63  60 faint
       3514   3697.0649   3162.3662       0.782       6.531       2.961      11.316       2.471    1.311302   0.1025043       31.74  80
       3912   1592.3073   3517.7134       0.749       5.057       2.824       7.057       1.769   0.3810886  0.03905505       21.20  60
       3967   3374.0388   3551.8853       0.753       6.266       2.555       6.164       1.522    0.362491  0.04170797       18.38  maybe ok
       4134   5899.2432   3875.6326       0.748       9.255       6.231      14.679       3.700    2.141006   0.1005158       44.24  90 blended
       4507   3872.4512   4052.7998       0.706       3.870       1.827       2.664       0.782   0.1047853  0.01870826        8.64  30
       4538   4316.0186   4112.9688       0.727       5.345       2.273       7.280       1.989   0.3325132  0.03953208       22.83  small and irr
       4647   2986.7285   4290.1406       0.736       9.626       5.059      14.571       3.848    2.840271   0.1242822       43.74  maybe small i
       4772   5097.3311   4390.0630       0.706       4.239       2.300       5.267       1.548   0.2139478  0.03083099       17.13  10
       5770   1268.5996   5229.0132       0.709       3.517       1.885       4.096       1.191    0.138145  0.02679818       13.24  50
       5972   3833.7197   5450.6367       0.737       5.770       2.704       8.644       2.275    1.272519  0.09968399       26.62  80
       6465   1822.4868   5819.8618       0.730       5.643       3.479       7.820       2.113   0.7723162  0.07865906       24.39  90
       6494   2691.2988   5873.0269       0.778       8.233       3.776      14.488       3.215    3.241712    0.196418       37.20  maybe spiral with small i
       6855   7205.8721   6173.8438       0.754       4.191       2.342       4.585       1.128   0.1530855  0.02256083       13.64  90 faint
       6968   4404.2520   6358.0195       0.743       8.779       3.939      14.340       3.691    4.343844   0.1577592       43.67  70
       6988   4528.6758   6256.7681       0.789       7.068       2.769       8.132       1.716   0.4200141  0.04104778       22.42  small skewed
       7006   4624.9067   6294.6689       0.716       7.401       3.414       7.489       2.124   0.5207648  0.03210122       23.94  part of 6989
       7328   1310.7457   6566.3345       0.717       4.945       3.392       4.766       1.347   0.2536034   0.0289391       15.19  70
       7568   7640.2246   6792.0615       0.729      10.883       2.642       9.026       2.447    1.127305  0.04996935       15.50  20 bright core
       7764   2038.7308   7012.3135       0.734       5.312       3.383       6.317       1.679   0.3365874  0.03123553       19.54  irr
       7796   3744.2297   7107.8481       0.713      11.123       6.792      11.794       3.382    1.606341   0.0371049       37.91  10
