     NUMBER     X_IMAGE     Y_IMAGE ELLIPTICITY  AWIN_IMAGE  BWIN_IMAGE     A_IMAGE     B_IMAGE   FLUX_AUTO   FLUX_APER  FWHM_IMAGE  MY_COMMENT
        858   6062.9736    866.8459       0.731       4.968       2.258       4.036       1.084   0.1777953  0.02605255       12.54  faint
       1161   1875.0142   1045.7087       0.826       5.196       0.906       5.196       0.906     0.62147  0.03138585       13.01  ok
       1540   3369.9385   1292.9398       0.775       6.854       3.992       8.129       1.829   0.5952276  0.04525367       23.14  ok
       1637   7105.6401   1402.4397       0.802       5.688       2.547      10.694       2.117    1.107031   0.1249775       28.55  wide
       1998   3147.6860   1854.3856       0.740      11.508       5.076      19.570       5.092    17.81565   0.6283463       59.31  wide
       2127   2946.1580   1839.3616       0.738       6.908       3.131       7.984       2.093   0.8413093  0.08084264       24.53  ok
       2583   7276.7017   2427.7786       0.735       7.264       3.757      11.713       3.104    3.049909   0.2428135       31.97  ok
       2608   2945.6938   2354.3611       0.811       8.378       3.587      13.542       2.553    1.829382    0.108726       35.29  ok
       3022   4234.3315   2820.6499       0.710       7.951       4.096      14.002       4.065    6.599655   0.4093542       35.15  wide
       3067   1491.8646   2749.6794       0.738       5.084       3.473       6.381       1.669   0.3194311  0.03200646       19.58  irregular
       3373   4573.9863   2983.5032       0.748       6.060       3.079       8.180       2.060   0.5587021  0.04431691       24.63  wide
       3514   3697.0649   3162.3662       0.782       6.531       2.961      11.316       2.471    1.311302   0.1025043       31.74  ok
       3864   7206.9434   3747.5662       0.736      11.654       6.175      22.574       5.950    16.03817   0.3533504       54.43  ok
       3912   1592.3073   3517.7134       0.749       5.057       2.824       7.057       1.769   0.3810886  0.03905505       21.20  irregular
       3967   3374.0388   3551.8853       0.753       6.266       2.555       6.164       1.522    0.362491  0.04170797       18.38  irr
       4327   7857.7603   3964.3828       0.870      15.001       8.759      28.350       3.678    2.138931  0.06139385       61.30  spike
       4647   2986.7285   4290.1406       0.736       9.626       5.059      14.571       3.848    2.840271   0.1242822       43.74  irr
       4929   3234.0977   4734.3281       0.819      15.755       6.102      24.637       4.471    10.75273   0.2315287       63.01  ok
       5770   1268.5996   5229.0132       0.709       3.517       1.885       4.096       1.191    0.138145  0.02679818       13.24  ok
       5972   3833.7197   5450.6367       0.737       5.770       2.704       8.644       2.275    1.272519  0.09968399       26.62  wide
       6185   6037.8252   5652.1890       0.738       8.047       3.394      10.656       2.796    2.011768   0.1201503       32.76  blended
       6231   2283.1851   5724.7441       0.823      11.417       4.766      20.799       3.673    7.194312   0.3290361       52.47  ok
       6275   6821.0952   5668.4570       0.756       5.389       2.512       6.285       1.533   0.3556544  0.04278449       18.62  wide
       6465   1822.4868   5819.8618       0.730       5.643       3.479       7.820       2.113   0.7723162  0.07865906       24.39  ok
       6494   2691.2988   5873.0269       0.778       8.233       3.776      14.488       3.215    3.241712    0.196418       37.20  ok
       6614   1559.9487   5989.5278       0.755       6.183       2.184       6.313       1.547   0.3602193  0.03353282       18.75  ok
       6968   4404.2520   6358.0195       0.743       8.779       3.939      14.340       3.691    4.343844   0.1577592       43.67  wide
       6988   4528.6758   6256.7681       0.789       7.068       2.769       8.132       1.716   0.4200141  0.04104778       22.42  faint
       6989   4589.1440   6315.0088       0.729       6.901       3.568      11.434       3.103    2.224736   0.1970737       26.10  part
       7006   4624.9067   6294.6689       0.716       7.401       3.414       7.489       2.124   0.5207648  0.03210122       23.94  part
       7328   1310.7457   6566.3345       0.717       4.945       3.392       4.766       1.347   0.2536034   0.0289391       15.19  ok
       7528   1908.7455   6828.5513       0.811       7.802       2.937      12.628       2.391     1.68137  0.08911618       32.98  ok
       7568   7640.2246   6792.0615       0.729      10.883       2.642       9.026       2.447    1.127305  0.04996935       15.50  bright
       7764   2038.7308   7012.3135       0.734       5.312       3.383       6.317       1.679   0.3365874  0.03123553       19.54  irr
       7796   3744.2297   7107.8481       0.713      11.123       6.792      11.794       3.382    1.606341   0.0371049       37.91  irr
       7837   5689.3306   7145.2559       0.784       6.349       2.815      10.959       2.362    1.521251   0.1547509       30.54  ok
       7846   7761.1465   7031.6431       0.749       1.659       0.270       2.829       0.709  0.05661611  0.02817393        8.47  thin
       8272   6815.5186   7269.2427       0.703       1.767       0.635       3.317       0.987    4.826074    2.390341       10.44  thin
       8288   5460.9131   7298.3252       0.707       6.300       3.743       4.925       1.444   0.2831988   0.0260307       16.00  faint
       9308   1891.5364   8048.3003       0.771       3.544       0.829      13.883       3.176  0.09877022 0.003794555        0.00  ok
